Size;Measure;Time_naive;Time_better;Time_blas
262;4;224.201000;202.700000;13.146000
262;5;225.417000;203.669000;12.674000
262;6;226.274000;202.397000;13.077000
262;7;224.336000;203.506000;13.124000
262;8;223.870000;204.185000;12.666000
262;9;227.454000;204.579000;13.734000
272;0;263.349000;226.524000;14.724000
272;1;261.281000;226.914000;14.709000
272;2;261.402000;227.138000;14.739000
272;3;261.300000;227.181000;14.747000
272;4;262.432000;226.443000;14.720000
272;5;262.329000;226.814000;15.230000
272;6;262.118000;226.822000;14.723000
272;7;261.396000;226.988000;14.730000
272;8;261.587000;227.165000;14.726000
272;9;261.354000;226.280000;14.710000
282;0;281.626000;252.854000;16.280000
282;1;282.177000;252.353000;16.293000
282;2;282.135000;252.280000;16.238000
282;3;282.065000;252.371000;16.313000
282;4;282.184000;252.366000;16.257000
282;5;280.736000;252.676000;16.300000
282;6;280.449000;253.269000;16.292000
282;7;280.512000;253.330000;16.261000
282;8;280.480000;253.351000;16.279000
282;9;280.954000;253.574000;16.294000
292;0;312.305000;280.619000;18.044000
292;1;312.302000;280.486000;17.980000
292;2;312.288000;281.328000;18.073000
292;3;311.922000;281.246000;18.090000
292;4;312.325000;280.574000;18.660000
292;5;312.301000;280.683000;17.983000
292;6;312.372000;280.802000;18.068000
292;7;311.905000;280.789000;18.023000
292;8;312.016000;280.727000;18.000000
292;9;317.936000;280.472000;18.013000
302;0;346.240000;314.962000;19.804000
302;1;345.958000;311.097000;20.353000
302;2;348.741000;310.187000;20.382000
302;3;348.678000;310.472000;20.383000
302;4;348.149000;310.784000;19.938000
302;5;347.795000;309.643000;19.819000
302;6;347.607000;310.528000;19.840000
302;7;346.143000;310.644000;19.796000
302;8;346.542000;310.346000;19.826000
302;9;346.044000;310.593000;19.818000
312;0;379.850000;341.574000;21.766000
312;1;380.039000;341.251000;21.786000
312;2;381.314000;340.375000;21.727000
312;3;381.049000;341.076000;21.260000
312;4;381.594000;341.108000;21.670000
312;5;380.511000;340.995000;21.634000
312;6;382.281000;340.673000;21.618000
312;7;381.249000;341.176000;21.609000
312;8;381.669000;340.848000;21.609000
312;9;384.786000;340.877000;21.595000
322;0;421.377000;375.424000;23.751000
322;1;421.157000;375.658000;23.756000
322;2;419.450000;375.203000;23.169000
322;3;420.715000;375.118000;23.725000
322;4;422.753000;375.281000;23.714000
322;5;420.549000;375.486000;23.696000
322;6;419.387000;375.617000;23.679000
322;7;421.102000;375.106000;23.723000
322;8;421.431000;375.431000;23.768000
322;9;419.385000;375.564000;23.712000
332;0;462.442000;410.812000;26.083000
332;1;465.046000;411.043000;26.017000
332;2;464.544000;410.431000;26.133000
332;3;462.975000;410.802000;26.071000
332;4;464.221000;410.530000;26.085000
332;5;464.450000;410.541000;26.179000
332;6;463.942000;410.408000;26.077000
332;7;464.597000;411.304000;26.109000
332;8;464.189000;410.753000;26.093000
332;9;462.393000;410.876000;26.145000
342;0;516.122000;453.770000;28.512000
342;1;516.402000;448.728000;28.207000
342;2;516.411000;448.876000;28.192000
342;3;516.290000;448.646000;28.794000
342;4;517.668000;449.018000;28.867000
342;5;516.397000;449.512000;28.771000
342;6;516.176000;448.860000;28.235000
342;7;516.286000;448.652000;28.780000
342;8;516.597000;448.451000;27.956000
342;9;515.791000;448.755000;28.452000
