Size;Measure;Time_naive;Time_better;Time_blas
312;4;286.730000;268.882000;21.742000
312;5;287.065000;268.746000;21.757000
312;6;287.046000;268.766000;21.773000
312;7;286.962000;269.562000;21.764000
312;8;287.598000;268.934000;21.742000
312;9;286.790000;269.364000;21.770000
322;0;316.619000;295.551000;23.854000
322;1;317.054000;295.221000;23.922000
322;2;317.072000;295.416000;23.905000
322;3;316.672000;295.362000;23.954000
322;4;317.105000;294.659000;23.876000
322;5;318.413000;294.661000;23.819000
322;6;318.486000;294.832000;23.875000
322;7;317.980000;294.813000;24.423000
322;8;318.244000;294.675000;23.858000
322;9;318.366000;294.858000;23.914000
332;0;349.262000;323.646000;25.913000
332;1;351.049000;322.946000;26.111000
332;2;350.970000;323.671000;26.211000
332;3;351.462000;323.714000;26.090000
332;4;349.771000;323.702000;26.181000
332;5;349.202000;323.571000;26.181000
332;6;351.126000;322.874000;26.049000
332;7;351.030000;323.038000;26.062000
332;8;351.112000;322.895000;26.060000
332;9;354.654000;323.702000;26.072000
342;0;380.073000;353.177000;29.829000
342;1;383.083000;353.479000;29.185000
342;2;382.036000;353.243000;28.662000
342;3;380.902000;352.962000;28.736000
342;4;380.828000;353.549000;29.618000
342;5;381.045000;352.943000;28.762000
342;6;380.792000;355.173000;29.417000
342;7;381.984000;352.813000;28.818000
342;8;382.005000;352.903000;28.682000
342;9;380.819000;352.933000;28.759000
