Size;Measure;Time_1st_level;Time_2nd_level
2001;2;0.028000;40.337000
2001;3;0.028000;40.415000
2001;4;0.029000;40.426000
2001;5;0.028000;40.433000
2001;6;0.029000;40.476000
2001;7;0.028000;40.382000
2001;8;0.029000;40.316000
2001;9;0.029000;40.337000
2051;0;0.029000;42.527000
2051;1;0.029000;42.490000
2051;2;0.030000;42.501000
2051;3;0.029000;42.461000
2051;4;0.029000;42.504000
2051;5;0.031000;42.393000
2051;6;0.030000;42.643000
2051;7;0.029000;42.492000
2051;8;0.030000;42.508000
2051;9;0.029000;42.554000
2101;0;0.029000;44.686000
2101;1;0.030000;44.672000
2101;2;0.031000;44.576000
2101;3;0.030000;44.580000
2101;4;0.029000;44.356000
2101;5;0.031000;44.767000
2101;6;0.031000;44.962000
2101;7;0.031000;44.553000
2101;8;0.029000;44.425000
2101;9;0.030000;44.426000
2151;0;0.030000;46.692000
2151;1;0.030000;46.790000
2151;2;0.031000;46.735000
2151;3;0.031000;46.636000
2151;4;0.032000;46.720000
2151;5;0.031000;46.777000
2151;6;0.031000;46.724000
2151;7;0.030000;0.013000
2151;8;0.029000;46.611000
2151;9;0.030000;46.666000
2201;0;0.030000;48.879000
2201;1;0.032000;48.940000
2201;2;0.032000;48.809000
2201;3;0.031000;48.847000
2201;4;0.031000;48.860000
2201;5;0.031000;48.730000
2201;6;0.031000;48.783000
2201;7;0.030000;48.879000
2201;8;0.031000;49.025000
2201;9;0.030000;48.899000
2251;0;0.032000;51.193000
2251;1;0.032000;51.092000
2251;2;0.033000;51.242000
2251;3;0.036000;51.206000
2251;4;0.036000;51.436000
2251;5;0.032000;51.083000
2251;6;0.031000;51.013000
2251;7;0.032000;50.862000
2251;8;0.032000;51.025000
2251;9;0.033000;51.090000
2301;0;0.031000;53.436000
2301;1;0.031000;53.339000
2301;2;0.031000;53.302000
2301;3;0.033000;53.282000
2301;4;0.032000;53.376000
2301;5;0.032000;53.406000
2301;6;0.032000;53.418000
2301;7;0.032000;53.567000
2301;8;0.032000;53.368000
2301;9;0.032000;53.680000
2351;0;0.032000;55.740000
2351;1;0.033000;55.915000
2351;2;0.032000;55.732000
2351;3;0.033000;55.797000
2351;4;0.033000;55.848000
2351;5;0.033000;55.768000
2351;6;0.033000;55.696000
2351;7;0.033000;56.077000
2351;8;0.032000;55.690000
2351;9;0.033000;55.900000
2401;0;0.032000;58.138000
2401;1;0.033000;58.173000
2401;2;0.033000;58.021000
2401;3;0.034000;58.143000
2401;4;0.033000;58.222000
2401;5;0.035000;58.179000
2401;6;0.034000;58.142000
2401;7;0.033000;58.051000
2401;8;0.033000;58.281000
2401;9;0.034000;58.025000
2451;0;0.034000;60.540000
2451;1;0.033000;60.501000
2451;2;0.034000;60.514000
2451;3;0.034000;60.453000
2451;4;0.034000;60.667000
2451;5;0.034000;60.591000
2451;6;0.034000;60.619000
2451;7;0.034000;60.680000
2451;8;0.036000;61.801000
2451;9;0.032000;61.305000
2501;0;0.034000;63.137000
2501;1;0.034000;62.939000
2501;2;0.034000;63.068000
2501;3;0.034000;62.930000
2501;4;0.034000;62.843000
2501;5;0.034000;63.098000
2501;6;0.034000;63.107000
2501;7;0.032000;63.095000
2501;8;0.034000;63.152000
2501;9;0.033000;63.014000
2551;0;0.034000;65.613000
2551;1;0.034000;65.518000
2551;2;0.034000;65.518000
2551;3;0.033000;65.331000
2551;4;0.035000;65.517000
2551;5;0.034000;65.588000
2551;6;0.035000;65.608000
2551;7;0.034000;65.576000
2551;8;0.035000;65.560000
2551;9;0.034000;65.750000
2601;0;0.034000;68.158000
2601;1;0.035000;68.127000
2601;2;0.035000;68.200000
2601;3;0.036000;68.372000
2601;4;0.035000;68.146000
2601;5;0.034000;68.134000
2601;6;0.036000;68.283000
2601;7;0.035000;68.100000
2601;8;0.035000;68.103000
2601;9;0.034000;68.138000
2651;0;0.035000;70.786000
2651;1;0.035000;70.756000
2651;2;0.034000;70.826000
2651;3;0.036000;70.816000
2651;4;0.035000;70.944000
2651;5;0.036000;0.024000
2651;6;0.035000;70.678000
2651;7;0.034000;70.797000
2651;8;0.036000;70.806000
2651;9;0.035000;70.820000
2701;0;0.035000;73.459000
2701;1;0.035000;73.441000
2701;2;0.036000;73.447000
2701;3;0.036000;73.554000
2701;4;0.036000;73.699000
2701;5;0.037000;73.548000
2701;6;0.036000;73.453000
2701;7;0.035000;73.449000
2701;8;0.037000;73.404000
2701;9;0.037000;73.539000
2751;0;0.037000;76.178000
2751;1;0.037000;76.231000
2751;2;0.036000;76.217000
2751;3;0.040000;76.265000
2751;4;0.037000;76.039000
2751;5;0.036000;76.117000
2751;6;0.036000;76.179000
2751;7;0.037000;76.127000
